,FID,SRC_AGENCY,LATITUDE,LONGITUDE,REP_DATE,SIZE_HA,CAUSE,PROTZONE,ECOZ_NAME,FireLocation,WeatherLocation,x,y,MAX_REL_HUMIDITY,LOCAL_DAY,ID,MEAN_TEMPERATURE,MIN_REL_HUMIDITY,PROVINCE_CODE,LOCAL_MONTH,TOTAL_RAIN,STATION_NAME,SPEED_MAX_GUST,TOTAL_PRECIPITATION,CLIMATE_IDENTIFIER,MAX_TEMPERATURE,LOCAL_YEAR,TOTAL_SNOW,MIN_TEMPERATURE,SNOW_ON_GROUND,Class
245,371212,QC,53.7725,-71.6012,2021-04-15,0.0,L,nordique,Taiga Shield East,"(53.7725, -71.6012)","53.75472222222222,-73.67527777777778",-73.67527777777778,53.75472222222222,91.1,15.0,7093714.2021.4.15,2.7,59.8,QC,4.0,0.0,LA GRANDE 4 A,45.0,0.0,7093714,6.5,2021.0,0.0,-1.1,0.0,0
246,371213,QC,53.3684,-72.40909999999998,2021-04-23,0.0,L,nordique,Taiga Shield East,"(53.3684, -72.40909999999998)","53.75472222222222,-73.67527777777778",-73.67527777777778,53.75472222222222,91.1,23.0,7093714.2021.4.23,0.1,59.8,QC,4.0,0.0,LA GRANDE 4 A,45.0,0.0,7093714,4.5,2021.0,0.0,-4.1,0.0,0
247,371214,QC,53.6643,-72.6302,2021-04-15,0.0,L,nordique,Taiga Shield East,"(53.6643, -72.6302)","53.75472222222222,-73.67527777777778",-73.67527777777778,53.75472222222222,91.1,15.0,7093714.2021.4.15,2.7,59.8,QC,4.0,0.0,LA GRANDE 4 A,45.0,0.0,7093714,6.5,2021.0,0.0,-1.1,0.0,0
248,371219,QC,48.5747,-64.9156,2021-04-23,0.0,L,intensive,Atlantic Maritime,"(48.5747, -64.9156)","48.77527777777778,-64.47972222222222",-64.47972222222222,48.77527777777778,91.1,23.0,7052601.2021.4.23,3.9,59.8,QC,4.0,2.4,GASPE A,41.0,0.0,7052601,7.8,2021.0,0.4,-4.1,0.0,0
249,371302,QC,47.7108,-76.652,2021-05-02,0.0,L,intensive,Boreal Shield East,"(47.7108, -76.652)","48.053333333333335,-77.78277777777778",-77.78277777777778,48.053333333333335,91.1,2.0,7098605.2021.5.2,5.833333333333333,59.8,QC,5.0,0.0,VAL D'OR A,41.0,0.0,7098605,6.9,2021.0,0.0,-4.1,0.0,0
250,371306,QC,47.9824,-76.4893,2021-05-02,0.0,L,intensive,Boreal Shield East,"(47.9824, -76.4893)","48.053333333333335,-77.78277777777778",-77.78277777777778,48.053333333333335,91.1,2.0,7098605.2021.5.2,5.833333333333333,59.8,QC,5.0,0.0,VAL D'OR A,41.0,0.0,7098605,6.9,2021.0,0.0,-4.1,0.0,0
251,371323,QC,49.5263,-77.2145,2021-05-07,0.0,L,intensive,Boreal Shield East,"(49.5263, -77.2145)","49.757783333333336,-77.79307222222222",-77.79307222222222,49.757783333333336,91.1,7.0,7094637.2021.5.7,1.75,57.4,QC,5.0,0.0,MATAGAMI,38.0,0.0,7094637,14.3,2021.0,0.0,-6.3,0.0,0
252,371328,QC,53.3322,-78.4345,2021-05-08,0.0,L,nordique,Taiga Shield East,"(53.3322, -78.4345)","53.01055555555556,-78.83111111111111",-78.83111111111111,53.01055555555556,91.1,8.0,7098908.2021.5.8,11.873333333333333,59.8,QC,5.0,0.0,WEMINDJI A,41.90909090909091,0.0,7098908,9.2,2021.0,0.0,-4.1,0.0,0
253,371330,QC,52.6598,-77.0091,2021-05-08,0.0,L,nordique,Hudson Plain,"(52.6598, -77.0091)","53.625277777777775,-77.70416666666667",-77.70416666666667,53.625277777777775,91.1,8.0,7093716.2021.5.8,3.6,52.523456790123454,QC,5.0,11.3,LA GRANDE RIVIERE A,39.333333333333336,11.3,7093716,7.7,2021.0,0.0,-4.1,0.0,0
254,371331,QC,52.6301,-76.8588,2021-05-08,0.0,L,nordique,Taiga Shield East,"(52.6301, -76.8588)","53.625277777777775,-77.70416666666667",-77.70416666666667,53.625277777777775,91.1,8.0,7093716.2021.5.8,3.6,52.523456790123454,QC,5.0,11.3,LA GRANDE RIVIERE A,39.333333333333336,11.3,7093716,7.7,2021.0,0.0,-4.1,0.0,0
255,371335,QC,47.5446,-76.77859999999998,2021-05-06,0.0,L,intensive,Boreal Shield East,"(47.5446, -76.77859999999998)","48.053333333333335,-77.78277777777778",-77.78277777777778,48.053333333333335,91.1,6.0,7098605.2021.5.6,3.6,59.8,QC,5.0,0.0,VAL D'OR A,35.0,0.0,7098605,8.5,2021.0,0.0,-4.1,0.0,0
